"Input","SYMBOL","Species"
"DDX5-Homo sapiens","DDX5","Homo sapiens"
"DDX6-Homo sapiens","DDX6","Homo sapiens"
"DECR2-Homo sapiens","DECR2","Homo sapiens"
"DGKB-Homo sapiens","DGKB","Homo sapiens"
"DHCR7-Homo sapiens","DHCR7","Homo sapiens"
"DHX9-Homo sapiens","DHX9","Homo sapiens"
"DIP2B-Homo sapiens","DIP2B","Homo sapiens"
"DIP2C-Homo sapiens","DIP2C","Homo sapiens"
"DIRAS2-Homo sapiens","DIRAS2","Homo sapiens"
"DISP2-Homo sapiens","DISP2","Homo sapiens"
"DLG1-Homo sapiens","DLG1","Homo sapiens"
"DLG2-Homo sapiens","DLG2","Homo sapiens"
"DLG3-Homo sapiens","DLG3","Homo sapiens"
"DLG4-Homo sapiens","DLG4","Homo sapiens"
"DLG5-Homo sapiens","DLG5","Homo sapiens"
"DLGAP1-Homo sapiens","DLGAP1","Homo sapiens"
"DLGAP2-Homo sapiens","DLGAP2","Homo sapiens"
"DLGAP3-Homo sapiens","DLGAP3","Homo sapiens"
"DLGAP4-Homo sapiens","DLGAP4","Homo sapiens"
"DMD-Homo sapiens","DMD","Homo sapiens"
"DMTN-Homo sapiens","DMTN","Homo sapiens"
"DMWD-Homo sapiens","DMWD","Homo sapiens"
"DMXL2-Homo sapiens","DMXL2","Homo sapiens"
"DNAJA1-Homo sapiens","DNAJA1","Homo sapiens"
"DNAJA2-Homo sapiens","DNAJA2","Homo sapiens"
"DNAJB1-Homo sapiens","DNAJB1","Homo sapiens"
"DNAJB11-Homo sapiens","DNAJB11","Homo sapiens"
"DNAJB2-Homo sapiens","DNAJB2","Homo sapiens"
"DNAJB4-Homo sapiens","DNAJB4","Homo sapiens"
"DNAJB5-Homo sapiens","DNAJB5","Homo sapiens"
"DNAJB6-Homo sapiens","DNAJB6","Homo sapiens"
"DNAJC13-Homo sapiens","DNAJC13","Homo sapiens"
"DNAJC6-Homo sapiens","DNAJC6","Homo sapiens"
"DNER-Homo sapiens","DNER","Homo sapiens"
"DNM1-Homo sapiens","DNM1","Homo sapiens"
"DNM2-Homo sapiens","DNM2","Homo sapiens"
"DNM3-Homo sapiens","DNM3","Homo sapiens"
"DOCK3-Homo sapiens","DOCK3","Homo sapiens"
"DOCK4-Homo sapiens","DOCK4","Homo sapiens"
"DOCK7-Homo sapiens","DOCK7","Homo sapiens"
"DOCK9-Homo sapiens","DOCK9","Homo sapiens"
"DOK5-Homo sapiens","DOK5","Homo sapiens"
"DPM1-Homo sapiens","DPM1","Homo sapiens"
"DPP6-Homo sapiens","DPP6","Homo sapiens"
"DPYSL2-Homo sapiens","DPYSL2","Homo sapiens"
